instance_id,gap,machine_failure
s0000,8.400000000000006,0
s0001,33.0,0
s0002,8.400000000000006,0
s0003,10.5,0
s0004,10.5,0
s0005,10.5,0
s0006,14.25,0
s0007,33.0,0
s0008,11.760000000000005,0
s0009,8.75,0
s0010,10.5,0
s0011,10.5,0
s0012,10.5,0
s0013,10.5,0
s0014,8.75,0
s0015,14.25,0
s0016,8.75,0
s0017,10.5,0
s0018,33.0,0
s0019,10.5,0
s0020,10.5,0
s0021,10.5,0
s0022,10.5,0
s0023,10.5,0
s0024,10.5,0
s0025,10.5,0
s0026,10.5,0
s0027,45.075,0
s0028,33.0,0
s0029,8.75,0
s0030,10.5,0
s0031,11.760000000000005,0
s0032,10.5,0
s0033,10.5,0
s0034,10.5,0
s0035,10.5,0
s0036,10.5,0
s0037,33.0,0
s0038,13.518999999999998,1
s0039,10.5,0
s0040,8.75,0
s0041,11.760000000000005,0
s0042,10.5,0
s0043,10.5,0
s0044,14.230999999999995,0
s0045,8.75,0
s0046,8.75,0
s0047,40.035,0
s0048,10.010000000000005,0
s0049,8.75,0
s0050,8.75,0
s0051,31.25,0
s0052,10.5,0
s0053,-3.168999999999997,1
s0054,7.0,0
s0055,8.75,0
s0056,10.5,0
s0057,10.5,0
s0058,10.5,0
s0059,10.5,0
s0060,8.75,0
s0061,33.0,0
s0062,10.5,0
s0063,10.5,0
s0064,33.0,0
s0065,10.5,0
s0066,10.5,0
s0067,10.5,0
s0068,11.550000000000011,0
s0069,10.5,0
s0070,10.5,0
s0071,10.010000000000005,0
s0072,8.75,0
s0073,10.5,0
s0074,8.75,0
s0075,10.5,0
s0076,10.5,0
s0077,11.760000000000005,0
s0078,14.25,0
s0079,10.5,0
s0080,10.5,0
s0081,10.5,0
s0082,10.5,0
s0083,10.5,0
s0084,37.724999999999994,0
s0085,10.5,0
s0086,34.57499999999999,0
s0087,33.0,0
s0088,8.75,0
s0089,10.5,0
s0090,33.0,0
s0129,5.740000000000009,1
s0130,9.099999999999994,1
s0132,38.74,1
s0134,8.510000000000005,1
s0146,30.235,1
s0161,11.550000000000011,1
s0229,29.08,1
s0241,5.25,1
s0311,27.75,1
