baseline,seed,margin,wilcoxon_p
B3,42,49.38,4.955204559858164e-18
B3,1,58.48,3.8739813166260495e-18
B3,7,57.99,4.258885533362712e-18
B4,42,47.5,6.119948488979534e-18
B4,1,54.51,4.228783210234454e-18
B4,7,51.83,4.500135143865563e-18
B5,42,22.64,3.9591594194566385e-11
B5,1,39.43,8.388392621603161e-17
B5,7,40.39,9.242808069039184e-17
B6,42,44.51,7.109966700021577e-18
B6,1,53.97,4.0077877962479225e-18
B6,7,53.24,3.8912877092326295e-18
B7,42,47.37,4.396124559036767e-18
B7,1,54.81,4.0127613038714614e-18
B7,7,54.39,4.135412227745389e-18
