family,cmp,dFinal,p_raw,p_holm,holm_sig,p_bh,bh_sig,cliffs,ci_lo_dFinal,ci_hi_dFinal,ci_lo_cliffs,ci_hi_cliffs,wins,ties,losses
"P: primary AI4I (B8 vs each, n=100)",B1,-14.37356,1.425907588227345e-18,9.981353117591415e-18,True,9.953953380030208e-18,True,-0.9414,-1.0,-0.8688,-1.0,-0.8688,1,0,99
"P: primary AI4I (B8 vs each, n=100)",B2,0.5989600000000003,0.0058667634234683035,0.0058667634234683035,True,0.0058667634234683035,True,0.3876,0.207395,0.5652199999999997,0.207395,0.5652199999999997,73,0,27
"P: primary AI4I (B8 vs each, n=100)",B3,49.37781,4.955204559858164e-18,2.477602279929082e-17,True,9.953953380030208e-18,True,0.961,0.9204,0.99,0.9204,0.99,98,0,2
"P: primary AI4I (B8 vs each, n=100)",B4,47.496819999999985,6.119948488979534e-18,2.4479793955918136e-17,True,9.953953380030208e-18,True,0.9576,0.9086,0.9918,0.9086,0.9918,95,0,5
"P: primary AI4I (B8 vs each, n=100)",B5,22.641240000000003,3.9591594194566385e-11,7.918318838913277e-11,True,4.619019322699412e-11,True,0.5723,0.4524925,0.6879025,0.4524925,0.6879025,71,13,16
"P: primary AI4I (B8 vs each, n=100)",B6,44.508810000000004,7.109966700021577e-18,2.132990010006473e-17,True,9.953953380030208e-18,True,0.9148,0.853,0.9644,0.853,0.9644,96,0,4
"P: primary AI4I (B8 vs each, n=100)",B7,47.36507000000002,4.396124559036767e-18,2.63767473542206e-17,True,9.953953380030208e-18,True,0.9564,0.9122,0.9878,0.9122,0.9878,98,0,2
"A: ablation (B8 vs each variant, n=100)",AblM,48.27517000000001,5.2659612342603595e-18,2.1063844937041438e-17,True,2.1063844937041438e-17,True,0.9684,0.9175949999999999,1.0,0.9175949999999999,1.0,97,0,3
"A: ablation (B8 vs each variant, n=100)",AblP,21.337230000000005,4.657825174601781e-14,1.3973475523805342e-13,True,9.315650349203562e-14,True,0.7435,0.6488975,0.8340049999999999,0.6488975,0.8340049999999999,87,3,10
"A: ablation (B8 vs each variant, n=100)",AblQ,19.86942,1.8361518922713223e-11,3.6723037845426445e-11,True,2.4482025230284296e-11,True,0.5934,0.4592,0.7192,0.4592,0.7192,78,0,22
"A: ablation (B8 vs each variant, n=100)",AblT,2.4957400000000005,0.042843451688529634,0.042843451688529634,True,0.042843451688529634,True,0.1421,0.0202975,0.265,0.0202975,0.265,37,42,21
"X: cross-LLM DeepSeek backend (B8 vs each, n=100)",B1,-13.13464,5.711486904456182e-16,2.855743452228091e-15,True,1.3326802777064425e-15,True,-0.9361,-0.9959,-0.8570975,-0.9959,-0.8570975,3,0,97
"X: cross-LLM DeepSeek backend (B8 vs each, n=100)",B2,1.0797700000000008,0.18330666147333996,0.18330666147333996,False,0.18330666147333993,False,0.0364,-0.1284,0.2014,-0.1284,0.2014,53,0,47
"X: cross-LLM DeepSeek backend (B8 vs each, n=100)",B3,28.13384,9.814265747633255e-17,5.888559448579953e-16,True,3.434993011671639e-16,True,0.8548,0.7791,0.9181025,0.7791,0.9181025,91,0,9
"X: cross-LLM DeepSeek backend (B8 vs each, n=100)",B4,18.4448,9.238460412207423e-13,1.8476920824414846e-12,True,1.0778203814241992e-12,True,0.6161,0.4962975,0.7259,0.4962975,0.7259,85,0,15
"X: cross-LLM DeepSeek backend (B8 vs each, n=100)",B5,29.133120000000005,1.7939298766693858e-17,1.25575091366857e-16,True,1.25575091366857e-16,True,0.8743,0.8068974999999999,0.9334025,0.8068974999999999,0.9334025,96,0,4
"X: cross-LLM DeepSeek backend (B8 vs each, n=100)",B6,24.020930000000003,4.662358208768147e-15,1.3987074626304441e-14,True,6.527301492275406e-15,True,0.6969,0.5936975,0.7902025,0.5936975,0.7902025,83,1,16
"X: cross-LLM DeepSeek backend (B8 vs each, n=100)",B7,24.582330000000006,4.288897052903025e-15,1.71555882116121e-14,True,6.527301492275406e-15,True,0.7427,0.6373,0.8376,0.6373,0.8376,91,1,8
"G: GLM-5.3 shared judge, L3 only (B8 vs each, n=100)",B1,-0.038999999999999986,0.011557735297433324,0.011557735297433324,True,0.011557735297433324,True,-0.1253,,,,,3,84,13
"G: GLM-5.3 shared judge, L3 only (B8 vs each, n=100)",B2,0.7659400000000001,3.8671833485878306e-18,2.7070283440114815e-17,True,2.7070283440114815e-17,True,0.9305,,,,,99,0,1
"G: GLM-5.3 shared judge, L3 only (B8 vs each, n=100)",B3,0.573,5.339789485961883e-14,2.6698947429809414e-13,True,1.2459508800577728e-13,True,0.83,,,,,89,6,5
"G: GLM-5.3 shared judge, L3 only (B8 vs each, n=100)",B4,0.4812899999999999,4.155287970697083e-12,8.310575941394166e-12,True,4.847835965813264e-12,True,0.7146,,,,,76,18,6
"G: GLM-5.3 shared judge, L3 only (B8 vs each, n=100)",B5,0.6659999999999999,2.2730069755003073e-16,1.3638041853001843e-15,True,7.955524414251075e-16,True,0.8618,,,,,92,6,2
"G: GLM-5.3 shared judge, L3 only (B8 vs each, n=100)",B6,0.5245799999999999,6.308960271300277e-13,1.892688081390083e-12,True,8.832544379820388e-13,True,0.7734,,,,,80,14,6
"G: GLM-5.3 shared judge, L3 only (B8 vs each, n=100)",B7,0.6475700000000001,4.2856247002346814e-13,1.7142498800938725e-12,True,7.499843225410692e-13,True,0.764,,,,,82,13,5
