system,L1,L2,L3,Cov,contra,Final,Final_sd,n
B1,0.9868,0.9812,4.8988,5.91,0.025,98.2667,9.6861,100
B2,0.988,0.7002,3.9582,3.08,0.025,83.2942,9.495,100
B3,0.392,0.2866,1.7423,2.56,0.8052,34.5154,10.9126,100
B4,0.5151,0.2869,1.3944,1.43,0.7246,36.3964,9.9179,100
B5,0.5805,0.5802,3.3614,4.24,0.2768,61.252,25.4501,100
B6,0.4572,0.3616,1.7905,2.28,0.6717,39.3844,15.2257,100
B7,0.4334,0.326,1.6543,1.9,0.6912,36.5281,11.2834,100
B8,0.7146,0.8412,4.8067,5.9,0.0284,83.8932,12.8273,100
B8PB,0.6862,0.6671,4.3922,5.3,0.0198,74.7756,19.2343,100
B8PA,0.7012,0.7469,4.4673,5.38,0.0252,78.2193,18.8405,100
