arm,vs,dFinal,p,cliffs,n
B8PB,B1,-23.49116,2.2887877175781934e-18,-0.946,100
B8PB,B2,-8.518639999999998,0.0008292946317453573,-0.065,100
B8PB,B3,40.26021000000001,2.1356079234851627e-16,0.8516,100
B8PB,B4,38.379220000000004,1.0138645279654217e-15,0.8474,100
B8PB,B5,13.523640000000002,6.604855551302465e-05,0.3295,100
B8PB,B6,35.39121,3.1656865415595052e-15,0.7793,100
B8PB,B7,38.24747000000001,1.348795703434054e-16,0.8471,100
B8PB,B8,-9.117600000000001,1.1436959792026703e-06,-0.2812,100
B8PA,B1,-20.04742,1.5131201402894296e-18,-0.9448,100
B8PA,B2,-5.0748999999999995,0.3584646142237332,0.1374,100
B8PA,B3,43.70394999999999,4.7366435996494285e-17,0.872,100
B8PA,B4,41.82296,5.810002488108987e-17,0.865,100
B8PA,B5,16.967380000000002,1.2705403556475733e-07,0.428,100
B8PA,B6,38.834950000000006,2.841324564822629e-16,0.8124,100
B8PA,B7,41.69121,2.87793422352017e-17,0.8671,100
B8PA,B8,-5.673860000000001,0.0006218500151906472,-0.145,100
