model,system,name,judge,n,L3,faith,compl,coh,act,cov6
glm-4-flash,B1,Template-only,deepseek-v4-flash,30.0,5.0,5.0,5.0,5.0,5.0,6.0
glm-4-flash,B2,Traditional D2T,deepseek-v4-flash,30.0,4.16,4.83,3.17,4.93,4.9,3.67
glm-4-flash,B3,Direct LLM,deepseek-v4-flash,30.0,1.81,1.17,1.5,3.63,1.3,2.37
glm-4-flash,B4,Few-shot LLM,deepseek-v4-flash,30.0,1.71,1.13,1.33,3.3,1.3,2.3
glm-4-flash,B5,Tool agent,deepseek-v4-flash,30.0,2.8,2.3,2.67,3.83,2.6,3.6
glm-4-flash,B6,RAG,deepseek-v4-flash,30.0,1.92,1.47,1.87,3.33,1.37,2.37
glm-4-flash,B7,RAG+CoVe,deepseek-v4-flash,30.0,2.7,2.1,2.47,3.27,2.67,3.9
glm-4-flash,B8,Full framework,deepseek-v4-flash,30.0,4.92,4.8,4.93,4.97,5.0,6.0
deepseek-v4-flash,B1,Template-only,glm-4-flash,30.0,5.0,5.0,5.0,5.0,5.0,6.0
deepseek-v4-flash,B2,Traditional D2T,glm-4-flash,30.0,3.79,3.0,3.8,4.23,3.8,5.37
deepseek-v4-flash,B3,Direct LLM,glm-4-flash,30.0,3.6,2.57,3.53,4.17,3.03,5.87
deepseek-v4-flash,B4,Few-shot LLM,glm-4-flash,30.0,3.82,2.97,3.8,4.43,3.43,5.67
deepseek-v4-flash,B5,Tool agent,glm-4-flash,30.0,3.87,2.87,4.03,4.33,3.47,5.93
deepseek-v4-flash,B6,RAG,glm-4-flash,30.0,3.78,2.7,3.83,4.5,3.37,5.83
deepseek-v4-flash,B7,RAG+CoVe,glm-4-flash,30.0,3.6,2.63,3.47,4.4,3.1,5.6
deepseek-v4-flash,B8,Full framework,glm-4-flash,30.0,4.22,3.23,4.23,4.9,4.17,6.0
