run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
AblT_s0000_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0000,30,0,none,7.45,685,132,0.0,False,,2026-07-24T23:01:59,6182.2
AblM_s0000_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0000,30,0,none,22.735,487,512,0.0,False,,2026-07-24T23:02:23,6182.2
AblQ_s0000_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0000,30,0,none,24.138,556,512,0.0,False,,2026-07-24T23:02:47,6182.2
AblP_s0000_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0000,30,0,none,9.387,553,156,0.0,False,,2026-07-24T23:02:57,6182.2
AblT_s0001_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0001,32,0,none,5.3,684,119,0.0,False,,2026-07-24T23:03:03,6182.2
AblM_s0001_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0001,32,0,none,27.2,486,512,0.0,False,,2026-07-24T23:03:31,6182.2
AblQ_s0001_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0001,32,0,none,23.356,555,512,0.0,False,,2026-07-24T23:03:55,6182.2
AblP_s0001_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0001,32,0,none,4.918,552,123,0.0,False,,2026-07-24T23:04:00,6182.2
AblT_s0002_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0002,34,0,none,4.588,685,119,0.0,False,,2026-07-24T23:04:05,6182.2
AblM_s0002_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0002,34,0,none,29.674,487,512,0.0,False,,2026-07-24T23:04:35,6182.2
AblQ_s0002_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0002,34,0,none,27.422,556,512,0.0,False,,2026-07-24T23:05:03,6182.2
AblP_s0002_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0002,34,0,none,7.985,553,197,0.0,False,,2026-07-24T23:05:12,6182.2
AblT_s0003_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0003,36,0,none,7.823,685,123,0.0,False,,2026-07-24T23:05:20,6182.2
AblM_s0003_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0003,36,0,none,26.862,487,512,0.0,False,,2026-07-24T23:05:48,6182.2
AblQ_s0003_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0003,36,0,none,29.009,556,512,0.0,False,,2026-07-24T23:06:17,6182.2
AblP_s0003_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0003,36,0,none,9.412,554,177,0.0,False,,2026-07-24T23:06:27,6182.2
AblT_s0004_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0004,40,0,none,10.197,685,106,0.0,False,,2026-07-24T23:06:38,6182.2
AblM_s0004_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0004,40,0,none,25.228,487,512,0.0,False,,2026-07-24T23:07:04,6182.2
AblQ_s0004_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0004,40,0,none,21.813,556,512,0.0,False,,2026-07-24T23:07:26,6182.2
AblP_s0004_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0004,40,0,none,7.046,553,124,0.0,False,,2026-07-24T23:07:34,6182.2
AblT_s0005_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0005,84,0,none,7.247,684,116,0.0,False,,2026-07-24T23:07:41,6182.2
AblM_s0005_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0005,84,0,none,23.183,486,512,0.0,False,,2026-07-24T23:08:05,6182.2
AblQ_s0005_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0005,84,0,none,25.341,555,512,0.0,False,,2026-07-24T23:08:31,6182.2
AblP_s0005_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0005,84,0,none,7.558,552,141,0.0,False,,2026-07-24T23:08:39,6182.2
AblT_s0006_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0006,92,0,none,7.181,683,119,0.0,False,,2026-07-24T23:08:47,6182.2
AblM_s0006_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0006,92,0,none,21.011,485,512,0.0,False,,2026-07-24T23:09:08,6182.2
AblQ_s0006_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0006,92,0,none,31.75,554,512,0.0,False,,2026-07-24T23:09:41,6182.2
AblP_s0006_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0006,92,0,none,10.551,551,174,0.0,False,,2026-07-24T23:09:52,6182.2
AblT_s0007_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0007,96,0,none,9.023,685,107,0.0,False,,2026-07-24T23:10:01,6182.2
AblM_s0007_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0007,96,0,none,26.391,487,512,0.0,False,,2026-07-24T23:10:28,6182.2
AblQ_s0007_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0007,96,0,none,25.455,556,512,0.0,False,,2026-07-24T23:10:54,6182.2
AblP_s0007_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0007,96,0,none,12.284,553,213,0.0,False,,2026-07-24T23:11:07,6182.2
AblT_s0008_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0008,100,0,none,5.481,684,119,0.0,False,,2026-07-24T23:11:13,6182.2
AblM_s0008_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0008,100,0,none,23.925,486,512,0.0,False,,2026-07-24T23:11:38,6182.2
AblQ_s0008_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0008,100,0,none,24.199,555,512,0.0,False,,2026-07-24T23:12:02,6182.2
AblP_s0008_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0008,100,0,none,6.328,552,149,0.0,False,,2026-07-24T23:12:09,6182.2
AblT_s0009_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0009,110,0,none,5.746,684,122,0.0,False,,2026-07-24T23:12:16,6182.2
AblM_s0009_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0009,110,0,none,24.675,486,512,0.0,False,,2026-07-24T23:12:41,6182.2
AblQ_s0009_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0009,110,0,none,20.564,555,512,0.0,False,,2026-07-24T23:13:02,6182.2
AblP_s0009_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0009,110,0,none,6.377,552,165,0.0,False,,2026-07-24T23:13:09,6182.2
AblT_s0010_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0010,111,0,none,5.559,683,112,0.0,False,,2026-07-24T23:13:15,6182.2
AblM_s0010_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0010,111,0,none,21.617,485,512,0.0,False,,2026-07-24T23:13:37,6182.2
AblQ_s0010_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0010,111,0,none,23.562,554,512,0.0,False,,2026-07-24T23:14:01,6182.2
AblP_s0010_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0010,111,0,none,9.918,551,191,0.0,False,,2026-07-24T23:14:12,6182.2
AblT_s0011_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0011,123,0,none,12.155,684,110,0.0,False,,2026-07-24T23:14:24,6182.2
AblM_s0011_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0011,123,0,none,24.058,486,512,0.0,False,,2026-07-24T23:14:49,6182.2
AblQ_s0011_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0011,123,0,none,25.963,555,512,0.0,False,,2026-07-24T23:15:15,6182.2
AblP_s0011_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0011,123,0,none,7.583,552,161,0.0,False,,2026-07-24T23:15:23,6182.2
AblT_s0012_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0012,264,0,none,8.614,683,140,0.0,False,,2026-07-24T23:15:33,6182.2
AblM_s0012_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0012,264,0,none,28.507,485,512,0.0,False,,2026-07-24T23:16:02,6182.2
AblQ_s0012_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0012,264,0,none,23.192,554,512,0.0,False,,2026-07-24T23:16:25,6182.2
AblP_s0012_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0012,264,0,none,7.795,551,155,0.0,False,,2026-07-24T23:16:34,6182.2
AblT_s0013_s42,ai4i_openai,AblT,glm-4-flash,openai,42,s0013,272,0,none,6.41,684,128,0.0,False,,2026-07-24T23:16:41,6182.2
AblM_s0013_s42,ai4i_openai,AblM,glm-4-flash,openai,42,s0013,272,0,none,28.756,486,512,0.0,False,,2026-07-24T23:17:10,6182.2
AblQ_s0013_s42,ai4i_openai,AblQ,glm-4-flash,openai,42,s0013,272,0,none,26.079,555,512,0.0,False,,2026-07-24T23:17:37,6182.2
AblP_s0013_s42,ai4i_openai,AblP,glm-4-flash,openai,42,s0013,272,0,none,9.864,552,160,0.0,False,,2026-07-24T23:17:47,6182.2
