run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B1_s0000_s42,ai4i_deepseek,B1,local,deepseek,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-25T09:06:06,10679.3
B2_s0000_s42,ai4i_deepseek,B2,local,deepseek,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-25T09:06:06,10679.3
B3_s0000_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0000,30,0,none,8.741,527,780,0.0,False,,2026-07-25T09:06:15,10679.3
B4_s0000_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0000,30,0,none,6.457,1219,543,0.0,False,,2026-07-25T09:06:22,10679.3
B5_s0000_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0000,30,0,none,9.196,2485,1047,0.0,False,,2026-07-25T09:06:32,10679.3
B6_s0000_s42,ai4i_deepseek,B6,deepseek-v4-flash,deepseek,42,s0000,30,0,none,9.978,808,923,0.0,False,,2026-07-25T09:06:42,10679.3
B7_s0000_s42,ai4i_deepseek,B7,deepseek-v4-flash,deepseek,42,s0000,30,0,none,21.306,1930,1924,0.0,False,,2026-07-25T09:07:04,10679.3
B8_s0000_s42,ai4i_deepseek,B8,deepseek-v4-flash,deepseek,42,s0000,30,0,none,3.134,684,268,0.0,False,,2026-07-25T09:07:07,10679.3
AblT_s0000_s42,ai4i_deepseek,AblT,deepseek-v4-flash,deepseek,42,s0000,30,0,none,4.229,699,357,0.0,False,,2026-07-25T09:07:12,10679.3
AblM_s0000_s42,ai4i_deepseek,AblM,deepseek-v4-flash,deepseek,42,s0000,30,0,none,23.341,496,1910,0.0,False,,2026-07-25T09:07:36,10679.3
AblQ_s0000_s42,ai4i_deepseek,AblQ,deepseek-v4-flash,deepseek,42,s0000,30,0,none,13.876,564,1197,0.0,False,,2026-07-25T09:07:50,10679.3
AblP_s0000_s42,ai4i_deepseek,AblP,deepseek-v4-flash,deepseek,42,s0000,30,0,none,7.545,563,653,0.0,False,,2026-07-25T09:07:58,10679.3
B1_s0001_s42,ai4i_deepseek,B1,local,deepseek,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-25T09:07:59,10679.3
B2_s0001_s42,ai4i_deepseek,B2,local,deepseek,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-25T09:07:59,10679.3
B3_s0001_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0001,32,0,none,8.67,527,693,0.0,False,,2026-07-25T09:08:07,10679.3
B4_s0001_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0001,32,0,none,6.556,1219,557,0.0,False,,2026-07-25T09:08:14,10679.3
B5_s0001_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0001,32,0,none,7.996,2485,924,0.0,False,,2026-07-25T09:08:23,10679.3
B6_s0001_s42,ai4i_deepseek,B6,deepseek-v4-flash,deepseek,42,s0001,32,0,none,7.74,808,700,0.0,False,,2026-07-25T09:08:31,10679.3
B7_s0001_s42,ai4i_deepseek,B7,deepseek-v4-flash,deepseek,42,s0001,32,0,none,24.176,1889,2518,0.0,False,,2026-07-25T09:08:56,10679.3
B8_s0001_s42,ai4i_deepseek,B8,deepseek-v4-flash,deepseek,42,s0001,32,0,none,3.291,684,233,0.0,False,,2026-07-25T09:08:59,10679.3
AblT_s0001_s42,ai4i_deepseek,AblT,deepseek-v4-flash,deepseek,42,s0001,32,0,none,3.438,699,318,0.0,False,,2026-07-25T09:09:03,10679.3
AblM_s0001_s42,ai4i_deepseek,AblM,deepseek-v4-flash,deepseek,42,s0001,32,0,none,30.848,496,3000,0.0,False,,2026-07-25T09:09:34,10679.3
AblQ_s0001_s42,ai4i_deepseek,AblQ,deepseek-v4-flash,deepseek,42,s0001,32,0,none,8.991,564,992,0.0,False,,2026-07-25T09:09:44,10679.3
AblP_s0001_s42,ai4i_deepseek,AblP,deepseek-v4-flash,deepseek,42,s0001,32,0,none,5.401,563,528,0.0,False,,2026-07-25T09:09:50,10679.3
B1_s0002_s42,ai4i_deepseek,B1,local,deepseek,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-25T09:09:50,10679.3
B2_s0002_s42,ai4i_deepseek,B2,local,deepseek,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-25T09:09:50,10679.3
B3_s0002_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0002,34,0,none,5.698,527,528,0.0,False,,2026-07-25T09:09:56,10679.3
B4_s0002_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0002,34,0,none,4.536,1219,391,0.0,False,,2026-07-25T09:10:01,10679.3
B5_s0002_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0002,34,0,none,8.372,2491,885,0.0,False,,2026-07-25T09:10:10,10679.3
B6_s0002_s42,ai4i_deepseek,B6,deepseek-v4-flash,deepseek,42,s0002,34,0,none,7.668,808,626,0.0,False,,2026-07-25T09:10:18,10679.3
B7_s0002_s42,ai4i_deepseek,B7,deepseek-v4-flash,deepseek,42,s0002,34,0,none,19.626,1936,2030,0.0,False,,2026-07-25T09:10:38,10679.3
B8_s0002_s42,ai4i_deepseek,B8,deepseek-v4-flash,deepseek,42,s0002,34,0,none,3.655,684,363,0.0,False,,2026-07-25T09:10:42,10679.3
