run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B1_s0000_s42,ai4i_openai,B1,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T14:29:40,6293.4
B2_s0000_s42,ai4i_openai,B2,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T14:29:40,6293.4
B3_s0000_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0000,30,0,none,10.917,519,158,0.0,False,,2026-07-24T14:29:51,6293.4
B4_s0000_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0000,30,0,none,9.419,1208,139,0.0,False,,2026-07-24T14:30:01,6293.4
B5_s0000_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0000,30,0,none,18.826,1575,187,0.0,False,,2026-07-24T14:30:21,6293.4
B6_s0000_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0000,30,0,none,12.741,798,236,0.0,False,,2026-07-24T14:30:34,6293.4
B7_s0000_s42,ai4i_openai,B7,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,True,NameError: name '_tool_analyze' is not defined,2026-07-24T14:30:51,6293.4
B8_s0000_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0000,30,0,none,6.397,675,133,0.0,False,,2026-07-24T14:30:58,6293.4
B1_s0001_s42,ai4i_openai,B1,local,openai,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-24T14:30:58,6293.4
B2_s0001_s42,ai4i_openai,B2,local,openai,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-24T14:30:58,6293.4
B3_s0001_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0001,32,0,none,11.301,518,186,0.0,False,,2026-07-24T14:31:09,6293.4
B4_s0001_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0001,32,0,none,6.275,1207,96,0.0,False,,2026-07-24T14:31:16,6293.4
B5_s0001_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0001,32,0,none,9.345,1573,156,0.0,False,,2026-07-24T14:31:26,6293.4
B6_s0001_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0001,32,0,none,6.992,797,107,0.0,False,,2026-07-24T14:31:34,6293.4
B7_s0001_s42,ai4i_openai,B7,local,openai,42,s0001,32,0,none,0.0,0,0,0.0,True,NameError: name '_tool_analyze' is not defined,2026-07-24T14:31:45,6293.4
B8_s0001_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0001,32,0,none,10.423,674,116,0.0,False,,2026-07-24T14:31:56,6293.4
B1_s0002_s42,ai4i_openai,B1,local,openai,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-24T14:31:57,6293.4
B2_s0002_s42,ai4i_openai,B2,local,openai,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-24T14:31:57,6293.4
B3_s0002_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0002,34,0,none,10.614,519,172,0.0,False,,2026-07-24T14:32:07,6293.4
B4_s0002_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0002,34,0,none,3.397,1208,74,0.0,False,,2026-07-24T14:32:11,6293.4
