run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B1_s0000_s42,ai4i_openai,B1,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T21:13:59,706.7
B2_s0000_s42,ai4i_openai,B2,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T21:13:59,706.7
B8_s0000_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0000,30,0,none,6.627,675,117,0.0,False,,2026-07-24T21:14:05,706.7
B1_s0001_s42,ai4i_openai,B1,local,openai,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:06,706.7
B2_s0001_s42,ai4i_openai,B2,local,openai,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:06,706.7
B8_s0001_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0001,32,0,none,5.027,674,127,0.0,False,,2026-07-24T21:14:11,706.7
B1_s0002_s42,ai4i_openai,B1,local,openai,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:11,706.7
B2_s0002_s42,ai4i_openai,B2,local,openai,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:11,706.7
B8_s0002_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0002,34,0,none,5.829,675,117,0.0,False,,2026-07-24T21:14:17,706.7
B1_s0003_s42,ai4i_openai,B1,local,openai,42,s0003,36,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:18,706.7
B2_s0003_s42,ai4i_openai,B2,local,openai,42,s0003,36,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:18,706.7
B8_s0003_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0003,36,0,none,7.362,675,164,0.0,False,,2026-07-24T21:14:25,706.7
B1_s0004_s42,ai4i_openai,B1,local,openai,42,s0004,40,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:26,706.7
B2_s0004_s42,ai4i_openai,B2,local,openai,42,s0004,40,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:26,706.7
B8_s0004_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0004,40,0,none,6.316,675,142,0.0,False,,2026-07-24T21:14:32,706.7
B1_s0005_s42,ai4i_openai,B1,local,openai,42,s0005,84,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:32,706.7
B2_s0005_s42,ai4i_openai,B2,local,openai,42,s0005,84,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:32,706.7
B8_s0005_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0005,84,0,none,5.86,674,133,0.0,False,,2026-07-24T21:14:38,706.7
B1_s0006_s42,ai4i_openai,B1,local,openai,42,s0006,92,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:39,706.7
B2_s0006_s42,ai4i_openai,B2,local,openai,42,s0006,92,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:39,706.7
B8_s0006_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0006,92,0,none,6.726,673,147,0.0,False,,2026-07-24T21:14:46,706.7
B1_s0007_s42,ai4i_openai,B1,local,openai,42,s0007,96,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:46,706.7
B2_s0007_s42,ai4i_openai,B2,local,openai,42,s0007,96,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:46,706.7
B8_s0007_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0007,96,0,none,9.859,675,136,0.0,False,,2026-07-24T21:14:56,706.7
B1_s0008_s42,ai4i_openai,B1,local,openai,42,s0008,100,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:57,706.7
B2_s0008_s42,ai4i_openai,B2,local,openai,42,s0008,100,0,none,0.0,0,0,0.0,False,,2026-07-24T21:14:57,706.7
B8_s0008_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0008,100,0,none,6.543,674,122,0.0,False,,2026-07-24T21:15:03,706.7
B1_s0009_s42,ai4i_openai,B1,local,openai,42,s0009,110,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:04,706.7
B2_s0009_s42,ai4i_openai,B2,local,openai,42,s0009,110,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:04,706.7
B8_s0009_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0009,110,0,none,5.383,674,118,0.0,False,,2026-07-24T21:15:09,706.7
B1_s0010_s42,ai4i_openai,B1,local,openai,42,s0010,111,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:10,706.7
B2_s0010_s42,ai4i_openai,B2,local,openai,42,s0010,111,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:10,706.7
B8_s0010_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0010,111,0,none,5.057,673,116,0.0,False,,2026-07-24T21:15:15,706.7
B1_s0011_s42,ai4i_openai,B1,local,openai,42,s0011,123,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:15,706.7
B2_s0011_s42,ai4i_openai,B2,local,openai,42,s0011,123,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:15,706.7
B8_s0011_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0011,123,0,none,4.154,674,123,0.0,False,,2026-07-24T21:15:19,706.7
B1_s0012_s42,ai4i_openai,B1,local,openai,42,s0012,264,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:20,706.7
B2_s0012_s42,ai4i_openai,B2,local,openai,42,s0012,264,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:20,706.7
B8_s0012_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0012,264,0,none,5.257,673,115,0.0,False,,2026-07-24T21:15:25,706.7
B1_s0013_s42,ai4i_openai,B1,local,openai,42,s0013,272,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:26,706.7
B2_s0013_s42,ai4i_openai,B2,local,openai,42,s0013,272,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:26,706.7
B8_s0013_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0013,272,0,none,7.981,674,118,0.0,False,,2026-07-24T21:15:34,706.7
B1_s0014_s42,ai4i_openai,B1,local,openai,42,s0014,317,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:34,706.7
B2_s0014_s42,ai4i_openai,B2,local,openai,42,s0014,317,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:34,706.7
B8_s0014_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0014,317,0,none,5.972,675,117,0.0,False,,2026-07-24T21:15:40,706.7
B1_s0015_s42,ai4i_openai,B1,local,openai,42,s0015,324,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:41,706.7
B2_s0015_s42,ai4i_openai,B2,local,openai,42,s0015,324,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:41,706.7
B8_s0015_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0015,324,0,none,7.107,676,144,0.0,False,,2026-07-24T21:15:48,706.7
B1_s0016_s42,ai4i_openai,B1,local,openai,42,s0016,335,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:48,706.7
B2_s0016_s42,ai4i_openai,B2,local,openai,42,s0016,335,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:48,706.7
B8_s0016_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0016,335,0,none,5.731,674,120,0.0,False,,2026-07-24T21:15:54,706.7
B1_s0017_s42,ai4i_openai,B1,local,openai,42,s0017,374,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:55,706.7
B2_s0017_s42,ai4i_openai,B2,local,openai,42,s0017,374,0,none,0.0,0,0,0.0,False,,2026-07-24T21:15:55,706.7
B8_s0017_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0017,374,0,none,6.414,675,117,0.0,False,,2026-07-24T21:16:01,706.7
B1_s0018_s42,ai4i_openai,B1,local,openai,42,s0018,431,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:01,706.7
B2_s0018_s42,ai4i_openai,B2,local,openai,42,s0018,431,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:02,706.7
B8_s0018_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0018,431,0,none,8.834,674,145,0.0,False,,2026-07-24T21:16:10,706.7
B1_s0019_s42,ai4i_openai,B1,local,openai,42,s0019,455,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:11,706.7
B2_s0019_s42,ai4i_openai,B2,local,openai,42,s0019,455,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:11,706.7
B8_s0019_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0019,455,0,none,6.265,675,138,0.0,False,,2026-07-24T21:16:17,706.7
B1_s0020_s42,ai4i_openai,B1,local,openai,42,s0020,504,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:18,706.7
B2_s0020_s42,ai4i_openai,B2,local,openai,42,s0020,504,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:18,706.7
B8_s0020_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0020,504,0,none,5.565,674,119,0.0,False,,2026-07-24T21:16:23,706.7
B1_s0021_s42,ai4i_openai,B1,local,openai,42,s0021,527,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:24,706.7
B2_s0021_s42,ai4i_openai,B2,local,openai,42,s0021,527,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:24,706.7
B8_s0021_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0021,527,0,none,4.355,676,118,0.0,False,,2026-07-24T21:16:28,706.7
B1_s0022_s42,ai4i_openai,B1,local,openai,42,s0022,535,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:29,706.7
B2_s0022_s42,ai4i_openai,B2,local,openai,42,s0022,535,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:29,706.7
B8_s0022_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0022,535,0,none,6.207,676,140,0.0,False,,2026-07-24T21:16:35,706.7
B1_s0023_s42,ai4i_openai,B1,local,openai,42,s0023,594,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:35,706.7
B2_s0023_s42,ai4i_openai,B2,local,openai,42,s0023,594,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:35,706.7
B8_s0023_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0023,594,0,none,10.591,674,128,0.0,False,,2026-07-24T21:16:46,706.7
B1_s0024_s42,ai4i_openai,B1,local,openai,42,s0024,600,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:47,706.7
B2_s0024_s42,ai4i_openai,B2,local,openai,42,s0024,600,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:47,706.7
B8_s0024_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0024,600,0,none,9.004,674,163,0.0,False,,2026-07-24T21:16:56,706.7
B1_s0025_s42,ai4i_openai,B1,local,openai,42,s0025,640,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:56,706.7
B2_s0025_s42,ai4i_openai,B2,local,openai,42,s0025,640,0,none,0.0,0,0,0.0,False,,2026-07-24T21:16:56,706.7
B8_s0025_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0025,640,0,none,9.949,676,172,0.0,False,,2026-07-24T21:17:06,706.7
B1_s0026_s42,ai4i_openai,B1,local,openai,42,s0026,732,0,none,0.0,0,0,0.0,False,,2026-07-24T21:17:07,706.7
B2_s0026_s42,ai4i_openai,B2,local,openai,42,s0026,732,0,none,0.0,0,0,0.0,False,,2026-07-24T21:17:07,706.7
B8_s0026_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0026,732,0,none,6.091,675,118,0.0,False,,2026-07-24T21:17:13,706.7
