run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B7_s0000_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0000,30,0,none,52.611,2217,847,0.0,False,,2026-07-24T16:23:39,4802.1
B7_s0001_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0001,32,0,none,50.348,2106,787,0.0,False,,2026-07-24T16:24:30,4802.1
B7_s0002_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0002,34,0,none,52.766,2192,826,0.0,False,,2026-07-24T16:25:24,4802.1
B7_s0003_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0003,36,0,none,45.533,2236,867,0.0,False,,2026-07-24T16:26:10,4802.1
B7_s0004_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0004,40,0,none,35.23,2033,673,0.0,False,,2026-07-24T16:26:46,4802.1
B7_s0005_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0005,84,0,none,46.859,2036,691,0.0,False,,2026-07-24T16:27:33,4802.1
B7_s0006_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0006,92,0,none,37.165,2010,675,0.0,False,,2026-07-24T16:28:11,4802.1
B7_s0007_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0007,96,0,none,64.172,2145,787,0.0,False,,2026-07-24T16:29:16,4802.1
B7_s0008_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0008,100,0,none,56.599,2141,793,0.0,False,,2026-07-24T16:30:13,4802.1
B7_s0009_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0009,110,0,none,58.252,2131,802,0.0,False,,2026-07-24T16:31:12,4802.1
B7_s0010_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0010,111,0,none,33.835,1917,551,0.0,False,,2026-07-24T16:31:46,4802.1
B7_s0011_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0011,123,0,none,41.824,2028,699,0.0,False,,2026-07-24T16:32:29,4802.1
B7_s0012_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0012,264,0,none,56.461,2272,913,0.0,False,,2026-07-24T16:33:26,4802.1
B7_s0013_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0013,272,0,none,67.242,2252,893,0.0,False,,2026-07-24T16:34:34,4802.1
B7_s0014_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0014,317,0,none,54.803,2004,654,0.0,False,,2026-07-24T16:35:29,4802.1
B7_s0015_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0015,324,0,none,49.605,2091,755,0.0,False,,2026-07-24T16:36:19,4802.1
B7_s0016_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0016,335,0,none,46.901,2164,847,0.0,False,,2026-07-24T16:37:07,4802.1
B7_s0017_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0017,374,0,none,45.966,2288,954,0.0,False,,2026-07-24T16:37:53,4802.1
B7_s0018_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0018,431,0,none,41.6,2082,781,0.0,False,,2026-07-24T16:38:36,4802.1
B7_s0019_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0019,455,0,none,31.859,2001,674,0.0,False,,2026-07-24T16:39:08,4802.1
B7_s0020_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0020,504,0,none,35.685,2141,771,0.0,False,,2026-07-24T16:39:44,4802.1
B7_s0021_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0021,527,0,none,49.86,2479,1073,0.0,False,,2026-07-24T16:40:35,4802.1
B7_s0022_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0022,535,0,none,44.617,2244,869,0.0,False,,2026-07-24T16:41:20,4802.1
B7_s0023_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0023,594,0,none,44.222,2014,661,0.0,False,,2026-07-24T16:42:05,4802.1
B7_s0024_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0024,600,0,none,43.983,1939,609,0.0,False,,2026-07-24T16:42:49,4802.1
B7_s0025_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0025,640,0,none,46.623,2191,875,0.0,False,,2026-07-24T16:43:37,4802.1
B7_s0026_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0026,732,0,none,52.776,2246,909,0.0,False,,2026-07-24T16:44:30,4802.1
B7_s0027_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0027,755,0,none,49.567,2144,798,0.0,False,,2026-07-24T16:45:20,4802.1
B7_s0028_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0028,784,0,none,33.459,1930,589,0.0,False,,2026-07-24T16:45:54,4802.1
B7_s0029_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0029,785,0,none,44.414,2147,789,0.0,False,,2026-07-24T16:46:39,4802.1
B7_s0030_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0030,814,0,none,38.241,2137,779,0.0,False,,2026-07-24T16:47:18,4802.1
B7_s0031_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0031,819,0,none,32.757,2090,749,0.0,False,,2026-07-24T16:47:52,4802.1
B7_s0032_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0032,976,0,none,56.822,2386,1016,0.0,False,,2026-07-24T16:48:49,4802.1
B7_s0033_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0033,982,0,none,26.344,2013,660,0.0,False,,2026-07-24T16:49:16,4802.1
B7_s0034_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0034,994,0,none,54.464,2288,914,0.0,False,,2026-07-24T16:50:11,4802.1
B7_s0035_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0035,995,0,none,68.943,2229,879,0.0,False,,2026-07-24T16:51:21,4802.1
B7_s0036_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0036,1018,0,none,53.529,2070,715,0.0,False,,2026-07-24T16:52:15,4802.1
B7_s0037_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0037,1081,0,none,56.688,2203,847,0.0,False,,2026-07-24T16:53:12,4802.1
