run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B4_s0000_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0000,30,0,none,5.421,1219,511,0.0,False,,2026-07-24T14:04:07,448.6
B5_s0000_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0000,30,0,none,8.071,2485,929,0.0,False,,2026-07-24T14:04:15,448.6
B4_s0001_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0001,32,0,none,3.625,1219,316,0.0,False,,2026-07-24T14:04:19,448.6
B5_s0001_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0001,32,0,none,8.819,2485,1057,0.0,False,,2026-07-24T14:04:28,448.6
B4_s0002_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0002,34,0,none,4.461,1219,426,0.0,False,,2026-07-24T14:04:33,448.6
B5_s0002_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0002,34,0,none,8.005,2485,1021,0.0,False,,2026-07-24T14:04:42,448.6
B4_s0003_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0003,36,0,none,5.325,1219,499,0.0,False,,2026-07-24T14:04:47,448.6
B5_s0003_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0003,36,0,none,7.272,2486,901,0.0,False,,2026-07-24T14:04:55,448.6
B4_s0004_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0004,40,0,none,4.043,1219,387,0.0,False,,2026-07-24T14:04:59,448.6
B5_s0004_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0004,40,0,none,7.841,2216,894,0.0,False,,2026-07-24T14:05:07,448.6
B4_s0005_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0005,84,0,none,4.608,1218,452,0.0,False,,2026-07-24T14:05:12,448.6
