run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B1_s0000_s42,ai4i_openai,B1,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T12:24:30,3145.6
B2_s0000_s42,ai4i_openai,B2,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T12:24:30,3145.6
B3_s0000_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0000,30,0,none,14.121,519,160,0.0,False,,2026-07-24T12:24:44,3145.6
B4_s0000_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0000,30,0,none,13.161,1457,114,0.0,False,,2026-07-24T12:24:58,3145.6
B5_s0000_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0000,30,0,none,11.768,1291,103,0.0,False,,2026-07-24T12:25:10,3145.6
B6_s0000_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0000,30,0,none,8.893,798,163,0.0,False,,2026-07-24T12:25:19,3145.6
B7_s0000_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0000,30,0,none,42.923,1538,491,0.0,False,,2026-07-24T12:26:03,3145.6
B8_s0000_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0000,30,0,none,11.712,675,141,0.0,False,,2026-07-24T12:26:15,3145.6
B1_s0001_s42,ai4i_openai,B1,local,openai,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-24T12:26:15,3145.6
B2_s0001_s42,ai4i_openai,B2,local,openai,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-24T12:26:15,3145.6
B3_s0001_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0001,32,0,none,10.77,518,161,0.0,False,,2026-07-24T12:26:26,3145.6
B4_s0001_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0001,32,0,none,10.386,1456,90,0.0,False,,2026-07-24T12:26:37,3145.6
B5_s0001_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0001,32,0,none,10.334,1289,120,0.0,False,,2026-07-24T12:26:47,3145.6
B6_s0001_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0001,32,0,none,12.074,797,164,0.0,False,,2026-07-24T12:27:00,3145.6
B7_s0001_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0001,32,0,none,39.193,1572,500,0.0,False,,2026-07-24T12:27:39,3145.6
B8_s0001_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0001,32,0,none,7.763,674,133,0.0,False,,2026-07-24T12:27:47,3145.6
B1_s0002_s42,ai4i_openai,B1,local,openai,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-24T12:27:48,3145.6
B2_s0002_s42,ai4i_openai,B2,local,openai,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-24T12:27:48,3145.6
B3_s0002_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0002,34,0,none,7.887,519,161,0.0,False,,2026-07-24T12:27:56,3145.6
