run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B4_s0000_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0000,30,0,none,3.015,1208,50,0.0,False,,2026-07-24T13:48:57,575.7
B5_s0000_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0000,30,0,none,12.084,1575,182,0.0,False,,2026-07-24T13:49:09,575.7
B4_s0001_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0001,32,0,none,8.127,1207,121,0.0,False,,2026-07-24T13:49:18,575.7
B5_s0001_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0001,32,0,none,15.998,1584,253,0.0,False,,2026-07-24T13:49:34,575.7
B4_s0002_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0002,34,0,none,5.704,1208,123,0.0,False,,2026-07-24T13:49:40,575.7
B5_s0002_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0002,34,0,none,8.982,1585,199,0.0,False,,2026-07-24T13:49:49,575.7
B4_s0003_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0003,36,0,none,5.497,1208,113,0.0,False,,2026-07-24T13:49:55,575.7
B5_s0003_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0003,36,0,none,12.786,1576,143,0.0,False,,2026-07-24T13:50:08,575.7
B4_s0004_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0004,40,0,none,5.739,1208,64,0.0,False,,2026-07-24T13:50:14,575.7
B5_s0004_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0004,40,0,none,10.378,1586,181,0.0,False,,2026-07-24T13:50:25,575.7
B4_s0005_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0005,84,0,none,6.887,1207,113,0.0,False,,2026-07-24T13:50:32,575.7
B5_s0005_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0005,84,0,none,12.779,1573,180,0.0,False,,2026-07-24T13:50:46,575.7
B4_s0006_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0006,92,0,none,7.405,1206,94,0.0,False,,2026-07-24T13:50:53,575.7
B5_s0006_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0006,92,0,none,12.768,1582,232,0.0,False,,2026-07-24T13:51:06,575.7
B4_s0007_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0007,96,0,none,7.783,1208,125,0.0,False,,2026-07-24T13:51:15,575.7
B5_s0007_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0007,96,0,none,12.585,1575,191,0.0,False,,2026-07-24T13:51:28,575.7
B4_s0008_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0008,100,0,none,9.656,1207,104,0.0,False,,2026-07-24T13:51:38,575.7
B5_s0008_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0008,100,0,none,18.869,1584,241,0.0,False,,2026-07-24T13:51:57,575.7
B4_s0009_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0009,110,0,none,6.069,1207,73,0.0,False,,2026-07-24T13:52:03,575.7
B5_s0009_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0009,110,0,none,13.976,1573,188,0.0,False,,2026-07-24T13:52:18,575.7
B4_s0010_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0010,111,0,none,7.148,1206,104,0.0,False,,2026-07-24T13:52:25,575.7
B5_s0010_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0010,111,0,none,22.335,1582,245,0.0,False,,2026-07-24T13:52:48,575.7
B4_s0011_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0011,123,0,none,4.959,1207,63,0.0,False,,2026-07-24T13:52:53,575.7
B5_s0011_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0011,123,0,none,12.24,1584,233,0.0,False,,2026-07-24T13:53:06,575.7
B4_s0012_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0012,264,0,none,11.158,1206,123,0.0,False,,2026-07-24T13:53:17,575.7
B5_s0012_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0012,264,0,none,12.488,1582,219,0.0,False,,2026-07-24T13:53:30,575.7
B4_s0013_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0013,272,0,none,5.041,1207,119,0.0,False,,2026-07-24T13:53:36,575.7
B5_s0013_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0013,272,0,none,11.512,1573,160,0.0,False,,2026-07-24T13:53:48,575.7
B4_s0014_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0014,317,0,none,3.972,1208,84,0.0,False,,2026-07-24T13:53:52,575.7
B5_s0014_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0014,317,0,none,10.638,1586,252,0.0,False,,2026-07-24T13:54:03,575.7
B4_s0015_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0015,324,0,none,3.164,1209,82,0.0,False,,2026-07-24T13:54:07,575.7
B5_s0015_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0015,324,0,none,9.845,1579,191,0.0,False,,2026-07-24T13:54:17,575.7
B4_s0016_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0016,335,0,none,7.628,1207,125,0.0,False,,2026-07-24T13:54:25,575.7
