run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B1_s0000_s42,smoke,B1,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T10:47:17,200.3
B2_s0000_s42,smoke,B2,local,openai,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T10:47:17,200.3
B3_s0000_s42,smoke,B3,agnes-2.0-flash,openai,42,s0000,30,0,none,2.304,818,201,0.0,False,,2026-07-24T10:47:19,200.3
B4_s0000_s42,smoke,B4,agnes-2.0-flash,openai,42,s0000,30,0,none,1.967,1838,115,0.0,False,,2026-07-24T10:47:23,200.3
B5_s0000_s42,smoke,B5,agnes-2.0-flash,openai,42,s0000,30,0,none,4.773,2097,238,0.0,False,,2026-07-24T10:47:29,200.3
B6_s0000_s42,smoke,B6,agnes-2.0-flash,openai,42,s0000,30,0,none,2.975,1123,195,0.0,False,,2026-07-24T10:47:34,200.3
B7_s0000_s42,smoke,B7,agnes-2.0-flash,openai,42,s0000,30,0,none,8.471,2898,797,0.0,False,,2026-07-24T10:47:44,200.3
B8_s0000_s42,smoke,B8,agnes-2.0-flash,openai,42,s0000,30,0,none,2.053,983,193,0.0,False,,2026-07-24T10:47:47,200.3
B1_s0130_s42,smoke,B1,local,openai,42,s0130,4122,1,HDF,0.0,0,0,0.0,False,,2026-07-24T10:47:49,200.3
B2_s0130_s42,smoke,B2,local,openai,42,s0130,4122,1,HDF,0.0,0,0,0.0,False,,2026-07-24T10:47:49,200.3
B3_s0130_s42,smoke,B3,agnes-2.0-flash,openai,42,s0130,4122,1,HDF,2.252,821,178,0.0,False,,2026-07-24T10:47:51,200.3
B4_s0130_s42,smoke,B4,agnes-2.0-flash,openai,42,s0130,4122,1,HDF,1.902,1841,115,0.0,False,,2026-07-24T10:47:55,200.3
B5_s0130_s42,smoke,B5,agnes-2.0-flash,openai,42,s0130,4122,1,HDF,3.086,1110,242,0.0,False,,2026-07-24T10:47:59,200.3
B6_s0130_s42,smoke,B6,agnes-2.0-flash,openai,42,s0130,4122,1,HDF,2.454,1126,250,0.0,False,,2026-07-24T10:48:03,200.3
B7_s0130_s42,smoke,B7,agnes-2.0-flash,openai,42,s0130,4122,1,HDF,7.243,2851,702,0.0,False,,2026-07-24T10:48:12,200.3
B8_s0130_s42,smoke,B8,agnes-2.0-flash,openai,42,s0130,4122,1,HDF,9.458,1025,209,0.0,False,,2026-07-24T10:48:23,200.3
B1_s0229_s42,smoke,B1,local,openai,42,s0229,7012,1,PWF,0.0,0,0,0.0,False,,2026-07-24T10:48:25,200.3
B2_s0229_s42,smoke,B2,local,openai,42,s0229,7012,1,PWF,0.0,0,0,0.0,False,,2026-07-24T10:48:25,200.3
B3_s0229_s42,smoke,B3,agnes-2.0-flash,openai,42,s0229,7012,1,PWF,3.023,819,223,0.0,False,,2026-07-24T10:48:28,200.3
B4_s0229_s42,smoke,B4,agnes-2.0-flash,openai,42,s0229,7012,1,PWF,2.832,1839,113,0.0,False,,2026-07-24T10:48:32,200.3
B5_s0229_s42,smoke,B5,agnes-2.0-flash,openai,42,s0229,7012,1,PWF,3.472,2147,221,0.0,False,,2026-07-24T10:48:37,200.3
B6_s0229_s42,smoke,B6,agnes-2.0-flash,openai,42,s0229,7012,1,PWF,2.333,1124,229,0.0,False,,2026-07-24T10:48:41,200.3
B7_s0229_s42,smoke,B7,agnes-2.0-flash,openai,42,s0229,7012,1,PWF,11.852,2869,724,0.0,False,,2026-07-24T10:48:55,200.3
B8_s0229_s42,smoke,B8,agnes-2.0-flash,openai,42,s0229,7012,1,PWF,2.816,1032,223,0.0,False,,2026-07-24T10:48:59,200.3
B1_s0129_s42,smoke,B1,local,openai,42,s0129,4118,1,OSF,0.0,0,0,0.0,False,,2026-07-24T10:49:00,200.3
B2_s0129_s42,smoke,B2,local,openai,42,s0129,4118,1,OSF,0.0,0,0,0.0,False,,2026-07-24T10:49:00,200.3
B3_s0129_s42,smoke,B3,agnes-2.0-flash,openai,42,s0129,4118,1,OSF,5.079,821,200,0.0,False,,2026-07-24T10:49:05,200.3
B4_s0129_s42,smoke,B4,agnes-2.0-flash,openai,42,s0129,4118,1,OSF,5.292,1841,142,0.0,False,,2026-07-24T10:49:12,200.3
B5_s0129_s42,smoke,B5,agnes-2.0-flash,openai,42,s0129,4118,1,OSF,2.329,1110,215,0.0,False,,2026-07-24T10:49:16,200.3
B6_s0129_s42,smoke,B6,agnes-2.0-flash,openai,42,s0129,4118,1,OSF,2.581,1126,230,0.0,False,,2026-07-24T10:49:20,200.3
B7_s0129_s42,smoke,B7,agnes-2.0-flash,openai,42,s0129,4118,1,OSF,9.154,2881,756,0.0,False,,2026-07-24T10:49:31,200.3
B8_s0129_s42,smoke,B8,agnes-2.0-flash,openai,42,s0129,4118,1,OSF,2.139,1030,213,0.0,False,,2026-07-24T10:49:35,200.3
B1_s0038_s42,smoke,B1,local,openai,42,s0038,1088,1,TWF,0.0,0,0,0.0,False,,2026-07-24T10:49:36,200.3
B2_s0038_s42,smoke,B2,local,openai,42,s0038,1088,1,TWF,0.0,0,0,0.0,False,,2026-07-24T10:49:36,200.3
B3_s0038_s42,smoke,B3,agnes-2.0-flash,openai,42,s0038,1088,1,TWF,2.506,821,216,0.0,False,,2026-07-24T10:49:39,200.3
B4_s0038_s42,smoke,B4,agnes-2.0-flash,openai,42,s0038,1088,1,TWF,1.896,1841,113,0.0,False,,2026-07-24T10:49:42,200.3
B5_s0038_s42,smoke,B5,agnes-2.0-flash,openai,42,s0038,1088,1,TWF,2.264,1110,201,0.0,False,,2026-07-24T10:49:46,200.3
B6_s0038_s42,smoke,B6,agnes-2.0-flash,openai,42,s0038,1088,1,TWF,2.126,1126,190,0.0,False,,2026-07-24T10:49:50,200.3
B7_s0038_s42,smoke,B7,agnes-2.0-flash,openai,42,s0038,1088,1,TWF,8.925,2767,618,0.0,False,,2026-07-24T10:50:00,200.3
B8_s0038_s42,smoke,B8,agnes-2.0-flash,openai,42,s0038,1088,1,TWF,2.357,1013,253,0.0,False,,2026-07-24T10:50:04,200.3
B1_s0044_s42,smoke,B1,local,openai,42,s0044,1222,0,RNF,0.0,0,0,0.0,False,,2026-07-24T10:50:06,200.3
B2_s0044_s42,smoke,B2,local,openai,42,s0044,1222,0,RNF,0.0,0,0,0.0,False,,2026-07-24T10:50:06,200.3
B3_s0044_s42,smoke,B3,agnes-2.0-flash,openai,42,s0044,1222,0,RNF,2.185,821,214,0.0,False,,2026-07-24T10:50:08,200.3
B4_s0044_s42,smoke,B4,agnes-2.0-flash,openai,42,s0044,1222,0,RNF,1.917,1841,113,0.0,False,,2026-07-24T10:50:11,200.3
B5_s0044_s42,smoke,B5,agnes-2.0-flash,openai,42,s0044,1222,0,RNF,3.693,1110,267,0.0,False,,2026-07-24T10:50:17,200.3
B6_s0044_s42,smoke,B6,agnes-2.0-flash,openai,42,s0044,1222,0,RNF,2.702,1126,233,0.0,False,,2026-07-24T10:50:21,200.3
B7_s0044_s42,smoke,B7,agnes-2.0-flash,openai,42,s0044,1222,0,RNF,7.621,2795,678,0.0,False,,2026-07-24T10:50:30,200.3
B8_s0044_s42,smoke,B8,agnes-2.0-flash,openai,42,s0044,1222,0,RNF,4.333,994,221,0.0,False,,2026-07-24T10:50:36,200.3
