system,instance_id,truth,v3_pred,claimed,n_numbers,n_bad,numeric,classification,rule,ok
B1,97.mat,normal,normal,normal,3,0,1.0,1.0,1.0,False
B1,98.mat,normal,normal,normal,3,0,1.0,1.0,1.0,False
B1,99.mat,normal,normal,normal,3,0,1.0,1.0,1.0,False
B1,100.mat,normal,normal,normal,3,0,1.0,1.0,1.0,False
B1,105.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,106.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,107.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,108.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,169.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,170.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,171.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,172.mat,IR,IR,IR,0,0,1.0,1.0,1.0,False
B1,209.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,210.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,211.mat,IR,IR,IR,0,0,1.0,1.0,1.0,False
B1,212.mat,IR,IR,IR,3,0,1.0,1.0,1.0,False
B1,118.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,119.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,120.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,121.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,185.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,186.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,187.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,188.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,222.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,223.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,224.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,225.mat,B,B,B,0,0,1.0,1.0,1.0,False
B1,130.mat,OR,OR,OR,3,0,1.0,1.0,1.0,False
B1,131.mat,OR,OR,OR,3,0,1.0,1.0,1.0,False
B1,132.mat,OR,OR,OR,3,0,1.0,1.0,1.0,False
B1,133.mat,OR,OR,OR,3,0,1.0,1.0,1.0,False
B1,197.mat,OR,OR,OR,0,0,1.0,1.0,1.0,False
B1,198.mat,OR,OR,OR,0,0,1.0,1.0,1.0,False
B1,199.mat,OR,OR,OR,0,0,1.0,1.0,1.0,False
B1,200.mat,OR,OR,OR,0,0,1.0,1.0,1.0,False
B1,234.mat,OR,OR,OR,3,0,1.0,1.0,1.0,False
B1,235.mat,OR,OR,OR,3,0,1.0,1.0,1.0,False
B1,236.mat,OR,OR,OR,3,0,1.0,1.0,1.0,False
B1,237.mat,OR,OR,OR,3,0,1.0,1.0,1.0,False
B2,97.mat,normal,normal,normal,1,0,1.0,1.0,1.0,False
B2,98.mat,normal,normal,normal,1,0,1.0,1.0,1.0,False
B2,99.mat,normal,normal,normal,1,0,1.0,1.0,1.0,False
B2,100.mat,normal,normal,normal,1,0,1.0,1.0,1.0,False
B2,105.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,106.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,107.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,108.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,169.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,170.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,171.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,172.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,209.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,210.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,211.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,212.mat,IR,IR,IR,1,0,1.0,1.0,1.0,False
B2,118.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,119.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,120.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,121.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,185.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,186.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,187.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,188.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,222.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,223.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,224.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,225.mat,B,B,B,1,0,1.0,1.0,1.0,False
B2,130.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,131.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,132.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,133.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,197.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,198.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,199.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,200.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,234.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,235.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,236.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B2,237.mat,OR,OR,OR,1,0,1.0,1.0,1.0,False
B3,97.mat,normal,normal,B,0,0,1.0,0.0,0.0,True
B3,98.mat,normal,normal,OR,0,0,1.0,0.0,0.0,True
B3,99.mat,normal,normal,IR,0,0,1.0,0.0,0.0,True
